naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2408,-6.0,500000.0,,-0.5073,0.01446,-0.0509,-35.08298755186722,True,,,0.85133
2408,-5.5,500000.0,,-0.5413,0.01198,-0.0259,-45.18363939899833,True,,,0.84372
2408,-5.0,500000.0,,-0.4278,0.01103,-0.0395,-38.78513145965549,True,,,0.84372
2408,-4.5,500000.0,,-0.3431,0.0102,-0.0446,-33.63725490196078,True,,,0.84372
2408,-4.0,500000.0,,-0.2721,0.00985,-0.0431,-27.624365482233504,True,,,0.84372
2408,-3.5,500000.0,,-0.2159,0.00969,-0.0423,-22.280701754385966,True,,,0.8361
2408,-3.0,500000.0,,-0.1827,0.00946,-0.0364,-19.312896405919663,True,0.8361,0.99202,
2408,-2.5,500000.0,,-0.0321,0.00829,-0.0565,-3.872135102533172,True,0.82849,0.97947,
2408,-2.0,500000.0,,-0.0188,0.00791,-0.046,-2.3767383059418457,True,0.82087,0.96506,
2408,-1.5,500000.0,,0.0621,0.00693,-0.0513,8.96103896103896,True,0.81325,0.94251,
2408,-1.0,500000.0,,0.1183,0.00588,-0.0509,20.11904761904762,True,0.798,0.91976,
2408,-0.5,500000.0,,0.2126,0.00606,-0.0588,35.082508250825086,True,0.798,0.89697,
2408,0.0,500000.0,,0.2715,0.0055,-0.0583,49.36363636363637,True,0.80563,0.85133,
2408,0.5,500000.0,,0.3459,0.00549,-0.0624,63.005464480874316,True,,,
2408,1.0,500000.0,,0.3842,0.00547,-0.0587,70.23765996343693,True,,,
2408,1.5,500000.0,,0.4367,0.00591,-0.0579,73.89170896785109,True,,,
2408,2.0,500000.0,,0.5163,0.00676,-0.0636,76.37573964497041,True,,,
2408,2.5,500000.0,,0.5455,0.00702,-0.0576,77.7065527065527,True,,,
2408,3.0,500000.0,,0.5887,0.00651,-0.0547,90.43010752688171,True,,,
2408,3.5,500000.0,,0.6701,0.00681,-0.0608,98.39941262848753,True,,,
2408,4.0,500000.0,,0.7172,0.0064,-0.0585,112.06249999999999,True,,,
2408,4.5,500000.0,,0.7516,0.00872,-0.0553,86.19266055045871,True,,,
2408,5.0,500000.0,,0.8157,0.00939,-0.0558,86.86900958466452,True,,,
2408,5.5,500000.0,,0.8636,0.00993,-0.0537,86.96878147029206,True,0.016158,0.061156,
2408,6.0,500000.0,,0.935,0.00993,-0.0546,94.15911379657604,True,0.0094466,0.042342,
2408,6.5,500000.0,,0.9653,0.0114,-0.0498,84.67543859649123,True,0.0063847,0.031499,
2408,7.0,500000.0,,1.0221,0.01174,-0.0485,87.06132879045997,True,0.0051525,0.031499,
2408,7.5,500000.0,,1.0819,0.01268,-0.0483,85.32334384858045,True,0.0040825,0.026834,
2408,8.0,500000.0,,1.1463,0.01317,-0.0482,87.03872437357631,True,0.0040825,0.026834,
2408,8.5,500000.0,,1.2092,0.01413,-0.0477,85.57678697806087,True,0.0031545,0.022736,
2408,9.0,500000.0,ayashii,5.7422,0.00161,-1.3771,3566.5838509316773,True,0.0031545,0.022736,
2408,9.5,500000.0,ayashii,6.0413,0.00169,-1.4446,3574.7337278106506,True,0.0023584,0.022736,
2408,10.0,500000.0,ayashii,7.011,0.00153,-1.6867,4582.352941176471,True,0.0023584,0.022736,
2408,10.5,500000.0,ayashii,7.8552,0.00147,-1.9173,5343.673469387755,True,0.0023584,0.022736,
