naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
4408,0.0,500000.0,,0.4817,0.00596,-0.1056,80.82214765100672,True,0.70682,0.78346,
4408,0.1,500000.0,,0.4892,0.00604,-0.1047,80.99337748344371,True,0.69914,0.77581,
4408,0.2,500000.0,,0.5184,0.00621,-0.1089,83.4782608695652,True,0.69914,0.76815,
4408,0.30000000000000004,500000.0,,0.5499,0.00667,-0.1133,82.44377811094454,True,0.69146,0.7605,
4408,0.4,500000.0,,0.5677,0.00689,-0.1147,82.39477503628446,True,0.69146,0.75283,
4408,0.5,500000.0,,0.5621,0.00652,-0.1112,86.2116564417178,True,0.68378,0.73751,
4408,0.6000000000000001,500000.0,,0.5734,0.00658,-0.1112,87.14285714285715,True,0.6761,0.72984,
4408,0.7000000000000001,500000.0,,0.5519,0.00653,-0.1035,84.51761102603368,True,0.6761,0.72217,
4408,0.8,500000.0,,0.5776,0.0066,-0.1069,87.51515151515152,True,0.66841,0.71449,
4408,0.9,500000.0,,0.6209,0.00735,-0.1142,84.47619047619048,True,0.66073,0.70682,
4408,1.0,500000.0,,0.6375,0.00743,-0.1154,85.8008075370121,True,0.65304,0.69914,
4408,1.1,500000.0,,0.6374,0.00728,-0.1128,87.55494505494505,True,0.64535,0.69146,
4408,1.2000000000000002,500000.0,,0.6546,0.00779,-0.1142,84.03080872913992,True,0.63765,0.68378,
4408,1.3,500000.0,,0.6106,0.00722,-0.1015,84.57063711911358,True,0.62996,0.68378,
4408,1.4000000000000001,500000.0,,0.6452,0.00757,-0.1069,85.23117569352708,True,0.62227,0.6761,
4408,1.5,500000.0,,0.6636,0.00844,-0.1085,78.62559241706161,True,0.60687,0.66841,
4408,1.6,500000.0,,0.6798,0.00868,-0.1096,78.3179723502304,True,0.59918,0.66073,
4408,1.7000000000000002,500000.0,,0.6882,0.00937,-0.1088,73.44717182497332,True,0.59148,0.65304,
4408,1.8,500000.0,,0.6952,0.00889,-0.1081,78.20022497187851,True,0.57607,0.64535,
4408,1.9000000000000001,500000.0,,0.7032,0.00918,-0.1072,76.60130718954248,True,0.56837,0.64535,
4408,2.0,500000.0,,0.7107,0.00911,-0.1064,78.01317233809002,True,0.55297,0.63765,
4408,2.1,500000.0,,0.7337,0.00981,-0.1091,74.79102956167178,True,0.54526,0.62996,
4408,2.2,500000.0,,0.7383,0.00937,-0.1076,78.7940234791889,True,0.52985,0.62996,
