ÇóºÍÏî:cl,ÁÐ±êÇ©,,,,,,,,,,,
ÐÐ±êÇ©,2408,2409,2410,2411,2412,2413,2508,2509,2510,2511,2512,×Ü¼Æ
6,0.9235,0.927,0.9402,0.9632,0.9747,0.9817,0.9302,0.9501,0.9692,0.9592,0.9584,10.4774
(¿Õ°×),0.9235,0.927,0.9402,0.9632,0.9747,0.9817,0.9302,0.9501,0.9692,0.9592,0.9584,10.4774
6.5,0.9577,0.9744,0.9881,0.9995,0.998,1.0207,0.9893,0.9954,1.0063,1.0168,1.0178,10.964
(¿Õ°×),0.9577,0.9744,0.9881,0.9995,0.998,1.0207,0.9893,0.9954,1.0063,1.0168,1.0178,10.964
7,1.0188,1.0263,1.0529,1.0569,1.0725,1.0856,1.0496,1.0514,1.0597,1.0741,1.0786,11.6264
(¿Õ°×),1.0188,1.0263,1.0529,1.0569,1.0725,1.0856,1.0496,1.0514,1.0597,1.0741,1.0786,11.6264
7.5,1.0783,1.0808,1.1011,1.1133,1.1139,1.1226,1.1087,1.1088,1.112,1.122,1.1486,12.2101
(¿Õ°×),1.0783,1.0808,1.1011,1.1133,1.1139,1.1226,1.1087,1.1088,1.112,1.122,1.1486,12.2101
8,1.143,1.1452,1.1527,1.1858,1.1712,1.1863,1.1698,1.1799,1.1763,1.1761,1.1917,12.878
(¿Õ°×),1.143,1.1452,1.1527,1.1858,1.1712,1.1863,1.1698,1.1799,1.1763,1.1761,1.1917,12.878
8.5,1.2043,1.2028,1.2054,1.235,1.2296,1.2498,1.2313,1.23,1.2356,1.2408,1.2475,13.5121
(¿Õ°×),1.2043,1.2028,1.2054,1.235,1.2296,1.2498,1.2313,1.23,1.2356,1.2408,1.2475,13.5121
9,1.2656,1.2645,1.2666,1.2907,1.3022,1.2948,1.2945,1.295,1.296,1.3021,1.3103,14.1823
(¿Õ°×),1.2656,1.2645,1.2666,1.2907,1.3022,1.2948,1.2945,1.295,1.296,1.3021,1.3103,14.1823
9.5,1.3253,1.3299,1.3328,1.3389,1.3501,1.3604,1.3536,1.3556,1.3575,1.386,1.373,14.8631
(¿Õ°×),1.3253,1.3299,1.3328,1.3389,1.3501,1.3604,1.3536,1.3556,1.3575,1.386,1.373,14.8631
10,7.3306,1.3875,1.4445,1.3984,1.4199,1.43,7.4651,1.4153,1.4187,1.4523,1.4333,27.5956
(¿Õ°×),7.3306,1.3875,1.4445,1.3984,1.4199,1.43,7.4651,1.4153,1.4187,1.4523,1.4333,27.5956
10.5,1.4462,1.4506,1.4548,1.461,1.4732,1.48,1.476,1.4782,1.4793,1.4893,1.4955,16.1841
(¿Õ°×),1.4462,1.4506,1.4548,1.461,1.4732,1.48,1.476,1.4782,1.4793,1.4893,1.4955,16.1841
11,6.0081,1.5127,1.5175,1.5235,1.5385,1.5537,1.59,1.538,1.5457,1.55,1.5572,21.4349
(¿Õ°×),6.0081,1.5127,1.5175,1.5235,1.5385,1.5537,1.59,1.538,1.5457,1.55,1.5572,21.4349
11.5,9.5678,7.567,1.5807,1.5905,1.6045,1.6115,9.754,1.5978,1.6077,1.6127,1.6194,39.7136
(¿Õ°×),9.5678,7.567,1.5807,1.5905,1.6045,1.6115,9.754,1.5978,1.6077,1.6127,1.6194,39.7136
12,10.3102,,1.6489,1.6502,1.6668,1.676,,1.6511,1.6702,1.6732,1.6814,23.628
(¿Õ°×),10.3102,,1.6489,1.6502,1.6668,1.676,,1.6511,1.6702,1.6732,1.6814,23.628
12.5,1.9282,1.756,1.7118,1.7154,1.7313,1.7405,2.038,1.7476,1.7283,1.7435,1.7472,19.5878
(¿Õ°×),1.9282,1.756,1.7118,1.7154,1.7313,1.7405,2.038,1.7476,1.7283,1.7435,1.7472,19.5878
13,,1.8033,1.7793,1.7813,1.7865,1.8116,,1.8593,1.8006,1.8077,1.8127,16.2423
(¿Õ°×),,1.8033,1.7793,1.7813,1.7865,1.8116,,1.8593,1.8006,1.8077,1.8127,16.2423
13.5,,,1.8495,1.8482,1.8531,1.876,2.1942,,1.8723,1.8727,1.8773,15.2433
(¿Õ°×),,,1.8495,1.8482,1.8531,1.876,2.1942,,1.8723,1.8727,1.8773,15.2433
14,,2.0788,1.9455,1.9142,1.9224,1.9404,,,1.9408,1.9623,1.9399,15.6443
(¿Õ°×),,2.0788,1.9455,1.9142,1.9224,1.9404,,,1.9408,1.9623,1.9399,15.6443
14.5,,2.2158,1.9936,1.9912,1.9917,,,2.2686,,2.0081,2.0093,14.4783
(¿Õ°×),,2.2158,1.9936,1.9912,1.9917,,,2.2686,,2.0081,2.0093,14.4783
15,,,2.0729,2.0648,2.0615,,,2.4432,2.2366,2.0827,,12.9617
(¿Õ°×),,,2.0729,2.0648,2.0615,,,2.4432,2.2366,2.0827,,12.9617
15.5,,,,2.142,,,,,2.3961,2.1611,2.148,8.8472
(¿Õ°×),,,,2.142,,,,,2.3961,2.1611,2.148,8.8472
16,,,,,,,,,,2.2468,2.2233,4.4701
(¿Õ°×),,,,,,,,,,2.2468,2.2233,4.4701
×Ü¼Æ,45.5076,28.7226,28.0388,30.264,28.2616,24.4216,33.6443,25.1653,28.9089,32.9395,30.8704,336.7446
