naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2408,6.0,700000.0,,0.9235,0.00972,-0.0543,95.01028806584362,True,0.0094466,0.036692,
2408,6.5,700000.0,,0.9577,0.01067,-0.05,89.75632614807871,True,0.0063847,0.026834,
2408,7.0,700000.0,,1.0188,0.01082,-0.0497,94.15896487985212,True,0.0051525,0.022736,
2408,7.5,700000.0,,1.0783,0.01138,-0.0498,94.75395430579965,True,0.0040825,0.022736,
2408,8.0,700000.0,,1.143,0.0116,-0.0501,98.5344827586207,True,0.0040825,0.019193,
2408,8.5,700000.0,,1.2043,0.01194,-0.0499,100.86264656616416,True,0.0031545,0.019193,
2408,9.0,700000.0,,1.2656,0.01218,-0.0498,103.9080459770115,True,0.0031545,0.019193,
2408,9.5,700000.0,,1.3253,0.01227,-0.05,108.01140994295028,True,0.0023584,0.019193,
2408,10.0,700000.0,ayashii,7.3306,0.00125,-1.7833,5864.48,True,0.0023584,0.016158,
2408,10.5,700000.0,,1.4462,0.01344,-0.051,107.60416666666666,True,0.0023584,0.016158,
2408,11.0,700000.0,ayashii,6.0081,0.00161,-1.3808,3731.739130434782,True,0.0016863,0.016158,
2408,11.5,700000.0,ayashii,9.5678,0.00115,-2.3474,8319.826086956522,True,0.0016863,0.016158,
2408,12.0,700000.0,ayashii,10.3102,0.00112,-2.5489,9205.535714285716,True,0.0016863,0.013566,
2408,12.5,700000.0,,1.9282,0.00997,-0.1151,193.4002006018054,True,0.0016863,0.016158,0.91976
2408,13.0,700000.0,ayashii,12.0589,0.00108,-2.9888,11165.648148148148,True,0.0016863,0.016158,0.80563
2409,6.0,700000.0,,0.927,0.00887,-0.0555,104.50958286358514,True,0.026028,0.055714,
2409,6.5,700000.0,,0.9744,0.00939,-0.0535,103.76996805111821,True,0.01476,0.044122,
2409,7.0,700000.0,,1.0263,0.0098,-0.0524,104.72448979591837,True,0.010924,0.034141,
2409,7.5,700000.0,,1.0808,0.01027,-0.0517,105.23855890944499,True,0.0078987,0.02985,
2409,8.0,700000.0,,1.1452,0.01051,-0.0531,108.9628924833492,True,0.0066291,0.026028,
2409,8.5,700000.0,,1.2028,0.01076,-0.0527,111.78438661710038,True,0.0054979,0.022651,
2409,9.0,700000.0,,1.2645,0.01099,-0.053,115.05914467697907,True,0.0044915,0.019678,
